nohup: 忽略输入
  0%|          | 0/156060 [00:00<?, ?it/s]  7%|▋         | 10267/156060 [00:00<00:01, 102669.12it/s] 13%|█▎        | 19802/156060 [00:00<00:01, 100357.26it/s] 16%|█▌        | 24819/156060 [00:00<00:02, 64747.93it/s]  22%|██▏       | 33768/156060 [00:00<00:01, 70603.78it/s] 25%|██▌       | 39655/156060 [00:00<00:02, 57513.78it/s] 29%|██▉       | 44980/156060 [00:00<00:02, 49753.89it/s] 32%|███▏      | 50389/156060 [00:00<00:02, 50979.18it/s] 37%|███▋      | 57270/156060 [00:00<00:01, 55276.06it/s] 41%|████      | 64257/156060 [00:01<00:01, 58970.43it/s] 48%|████▊     | 74712/156060 [00:01<00:01, 67842.96it/s] 53%|█████▎    | 82052/156060 [00:01<00:01, 63045.35it/s] 59%|█████▉    | 92475/156060 [00:01<00:00, 71523.42it/s] 66%|██████▌   | 102877/156060 [00:01<00:00, 78919.60it/s] 73%|███████▎  | 113394/156060 [00:01<00:00, 85305.85it/s] 79%|███████▊  | 122585/156060 [00:01<00:00, 75510.51it/s] 84%|████████▍ | 130805/156060 [00:01<00:00, 62087.57it/s] 88%|████████▊ | 137876/156060 [00:02<00:00, 58248.38it/s] 94%|█████████▍| 147379/156060 [00:02<00:00, 65899.37it/s] 99%|█████████▉| 154764/156060 [00:02<00:00, 62408.99it/s]100%|██████████| 156060/156060 [00:02<00:00, 68046.94it/s]
  0%|          | 0/156060 [00:00<?, ?it/s]  9%|▊         | 13270/156060 [00:00<00:01, 132696.01it/s] 13%|█▎        | 19996/156060 [00:00<00:01, 102716.04it/s] 21%|██▏       | 33300/156060 [00:00<00:01, 110254.98it/s] 30%|██▉       | 46286/156060 [00:00<00:00, 115484.67it/s] 37%|███▋      | 57727/156060 [00:00<00:00, 115158.86it/s] 45%|████▌     | 70427/156060 [00:00<00:00, 118471.45it/s] 54%|█████▍    | 84363/156060 [00:00<00:00, 124047.93it/s] 62%|██████▏   | 97509/156060 [00:00<00:00, 126178.59it/s] 70%|███████   | 109595/156060 [00:00<00:00, 98040.10it/s] 77%|███████▋  | 119990/156060 [00:01<00:00, 65626.24it/s] 85%|████████▌ | 132814/156060 [00:01<00:00, 76879.45it/s] 93%|█████████▎| 145572/156060 [00:01<00:00, 87284.35it/s]100%|██████████| 156060/156060 [00:01<00:00, 100599.94it/s]
  0%|          | 0/156060 [00:00<?, ?it/s] 21%|██        | 32956/156060 [00:00<00:00, 329550.89it/s] 27%|██▋       | 42843/156060 [00:00<00:00, 192837.57it/s] 39%|███▉      | 60512/156060 [00:00<00:00, 187691.58it/s] 61%|██████▏   | 95967/156060 [00:00<00:00, 218546.32it/s] 84%|████████▍ | 131632/156060 [00:00<00:00, 247270.61it/s]100%|██████████| 156060/156060 [00:00<00:00, 270182.85it/s]
  0%|          | 0/16532 [00:00<?, ?it/s]/remote-home/zyfei/nlp-beginner/task2/data_load.py:82: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  /opt/conda/conda-bld/pytorch_1595629403081/work/torch/csrc/utils/tensor_numpy.cpp:141.)
  res[idx] = torch.tensor(model.get_vector(word))
 29%|██▉       | 4815/16532 [00:00<00:00, 48140.86it/s] 62%|██████▏   | 10187/16532 [00:00<00:00, 49687.05it/s] 81%|████████  | 13334/16532 [00:00<00:00, 42312.43it/s] 97%|█████████▋| 16113/16532 [00:00<00:00, 32139.24it/s]100%|██████████| 16532/16532 [00:00<00:00, 37361.95it/s]
  0%|          | 0/156060 [00:00<?, ?it/s]  6%|▌         | 8731/156060 [00:00<00:01, 87285.73it/s]  7%|▋         | 11350/156060 [00:00<00:02, 49134.90it/s] 14%|█▎        | 21107/156060 [00:00<00:02, 57732.48it/s] 19%|█▉        | 30296/156060 [00:00<00:01, 64978.59it/s] 26%|██▌       | 40073/156060 [00:00<00:01, 72246.57it/s] 32%|███▏      | 50383/156060 [00:00<00:01, 79370.50it/s] 39%|███▉      | 60711/156060 [00:00<00:01, 85293.44it/s] 45%|████▍     | 69491/156060 [00:00<00:01, 67349.41it/s] 51%|█████     | 79778/156060 [00:01<00:01, 75132.05it/s] 57%|█████▋    | 89342/156060 [00:01<00:00, 80297.20it/s] 63%|██████▎   | 98047/156060 [00:01<00:00, 67950.21it/s] 69%|██████▉   | 107870/156060 [00:01<00:00, 74872.68it/s] 75%|███████▍  | 116876/156060 [00:01<00:00, 78860.68it/s] 81%|████████  | 126792/156060 [00:01<00:00, 84019.51it/s] 88%|████████▊ | 137045/156060 [00:01<00:00, 88828.23it/s] 94%|█████████▍| 147437/156060 [00:01<00:00, 92874.03it/s]100%|██████████| 156060/156060 [00:01<00:00, 83925.60it/s]
  0%|          | 0/156060 [00:00<?, ?it/s]  7%|▋         | 11594/156060 [00:00<00:01, 115939.56it/s] 14%|█▍        | 22586/156060 [00:00<00:01, 114064.43it/s] 20%|██        | 31503/156060 [00:00<00:01, 95342.92it/s]  28%|██▊       | 44123/156060 [00:00<00:01, 102888.73it/s] 36%|███▌      | 55963/156060 [00:00<00:00, 107096.76it/s] 42%|████▏     | 65145/156060 [00:00<00:01, 89052.77it/s]  49%|████▉     | 76826/156060 [00:00<00:00, 95887.21it/s] 57%|█████▋    | 89400/156060 [00:00<00:00, 103239.09it/s] 65%|██████▌   | 101917/156060 [00:00<00:00, 108966.02it/s] 73%|███████▎  | 114475/156060 [00:01<00:00, 113467.17it/s] 81%|████████  | 125925/156060 [00:01<00:00, 94322.63it/s]  88%|████████▊ | 136658/156060 [00:01<00:00, 97879.17it/s] 95%|█████████▍| 147605/156060 [00:01<00:00, 101089.60it/s]100%|██████████| 156060/156060 [00:01<00:00, 103423.99it/s]
  0%|          | 0/156060 [00:00<?, ?it/s] 22%|██▏       | 34936/156060 [00:00<00:00, 349358.67it/s] 45%|████▍     | 69894/156060 [00:00<00:00, 349424.89it/s] 68%|██████▊   | 105506/156060 [00:00<00:00, 351404.95it/s] 91%|█████████ | 141417/156060 [00:00<00:00, 353678.88it/s]100%|██████████| 156060/156060 [00:00<00:00, 352136.19it/s]
  0%|          | 0/16532 [00:00<?, ?it/s] 17%|█▋        | 2844/16532 [00:00<00:00, 28437.25it/s] 29%|██▉       | 4821/16532 [00:00<00:00, 25129.94it/s] 43%|████▎     | 7132/16532 [00:00<00:00, 24486.72it/s] 75%|███████▌  | 12446/16532 [00:00<00:00, 29211.25it/s]100%|██████████| 16532/16532 [00:00<00:00, 35571.33it/s]Construct Corpus...
Convert Corpus to Integers
Convert Phrase to Integers
loading vec embeding models...
convert models...
total 16532 words and in ../data/pre/glove.6B.100d.word2vec.txt find 15248 words
Construct Corpus...
Convert Corpus to Integers
Convert Phrase to Integers
loading vec embeding models...
convert models...
total 16532 words and in ../data/pre/word2vec.100d.word2vec.txt find 15805 words
traing rnn with glove model ...
epoch 0 train loss:1.283026,train acc:0.513062 test acc:0.5013768
epoch 1 train loss:1.289144,train acc:0.512454 test acc:0.5014408
epoch 2 train loss:1.287912,train acc:0.512181 test acc:0.5010566
epoch 3 train loss:1.288151,train acc:0.512253 test acc:0.5010246
epoch 4 train loss:1.287494,train acc:0.512566 test acc:0.5011527
epoch 5 train loss:1.286214,train acc:0.512205 test acc:0.5010566
epoch 6 train loss:1.279748,train acc:0.512854 test acc:0.5014088
epoch 7 train loss:1.264235,train acc:0.512854 test acc:0.5015369
epoch 8 train loss:1.237404,train acc:0.517275 test acc:0.5069160
epoch 9 train loss:1.244498,train acc:0.512197 test acc:0.5011527
epoch 10 train loss:1.282218,train acc:0.512285 test acc:0.5010566
epoch 11 train loss:1.288507,train acc:0.512405 test acc:0.5010566
epoch 12 train loss:1.287550,train acc:0.512718 test acc:0.5012487
epoch 13 train loss:1.231976,train acc:0.513190 test acc:0.5023694
epoch 14 train loss:1.242605,train acc:0.512838 test acc:0.5019851
epoch 15 train loss:1.228196,train acc:0.512654 test acc:0.5005443
epoch 16 train loss:1.248444,train acc:0.513351 test acc:0.4996265
epoch 17 train loss:1.244850,train acc:0.512317 test acc:0.5011206
epoch 18 train loss:1.279034,train acc:0.512277 test acc:0.5011206
epoch 19 train loss:1.254271,train acc:0.512918 test acc:0.5010246
epoch 20 train loss:1.236812,train acc:0.514360 test acc:0.5020172
epoch 21 train loss:1.261348,train acc:0.512606 test acc:0.5011847
epoch 22 train loss:1.274375,train acc:0.510147 test acc:0.4945996
epoch 23 train loss:1.275788,train acc:0.512734 test acc:0.5015689
epoch 24 train loss:1.256306,train acc:0.513623 test acc:0.5024334
epoch 25 train loss:1.255405,train acc:0.512670 test acc:0.4994664
epoch 26 train loss:1.220858,train acc:0.512093 test acc:0.4993916
epoch 27 train loss:1.181608,train acc:0.517555 test acc:0.5037462
epoch 28 train loss:1.245582,train acc:0.512349 test acc:0.5010566
epoch 29 train loss:1.270509,train acc:0.512486 test acc:0.5011527
epoch 30 train loss:1.245937,train acc:0.511741 test acc:0.5005123
epoch 31 train loss:1.223939,train acc:0.513719 test acc:0.4994557
epoch 32 train loss:1.211369,train acc:0.504413 test acc:0.4934149
epoch 33 train loss:1.248911,train acc:0.512606 test acc:0.5013128
epoch 34 train loss:1.247348,train acc:0.512686 test acc:0.5013768
epoch 35 train loss:1.219657,train acc:0.512518 test acc:0.5011847
epoch 36 train loss:1.289065,train acc:0.512894 test acc:0.5013448
epoch 37 train loss:1.288435,train acc:0.512982 test acc:0.5011847
epoch 38 train loss:1.288284,train acc:0.513214 test acc:0.5011527
epoch 39 train loss:1.260768,train acc:0.512558 test acc:0.5012167
epoch 40 train loss:1.242085,train acc:0.512702 test acc:0.5012807
epoch 41 train loss:1.244996,train acc:0.512862 test acc:0.5013448
epoch 42 train loss:1.248094,train acc:0.512726 test acc:0.5012487
epoch 43 train loss:1.233148,train acc:0.512950 test acc:0.5013448
epoch 44 train loss:1.237507,train acc:0.512806 test acc:0.5015369
epoch 45 train loss:1.229937,train acc:0.512886 test acc:0.5015689
epoch 46 train loss:1.239675,train acc:0.512686 test acc:0.5013768
epoch 47 train loss:1.198253,train acc:0.510804 test acc:0.4962218
epoch 48 train loss:1.196425,train acc:0.509074 test acc:0.4991995
epoch 49 train loss:1.186717,train acc:0.511589 test acc:0.4997652
traing rnn with random wmbedding model ...
epoch 0 train loss:1.287390,train acc:0.512397 test acc:0.5011847
epoch 1 train loss:1.288807,train acc:0.512790 test acc:0.5013448
epoch 2 train loss:1.288054,train acc:0.512774 test acc:0.5009606
epoch 3 train loss:1.287929,train acc:0.512878 test acc:0.5009285
epoch 4 train loss:1.287591,train acc:0.513118 test acc:0.5013448
epoch 5 train loss:1.287483,train acc:0.513294 test acc:0.5010886
epoch 6 train loss:1.287412,train acc:0.513230 test acc:0.5013128
epoch 7 train loss:1.286844,train acc:0.513246 test acc:0.5010886
epoch 8 train loss:1.286457,train acc:0.513375 test acc:0.5011847
epoch 9 train loss:1.286596,train acc:0.513318 test acc:0.5013128
epoch 10 train loss:1.286727,train acc:0.513407 test acc:0.5013128
epoch 11 train loss:1.286173,train acc:0.513439 test acc:0.5011206
epoch 12 train loss:1.286932,train acc:0.513415 test acc:0.5011206
epoch 13 train loss:1.286058,train acc:0.513326 test acc:0.5013128
epoch 14 train loss:1.287022,train acc:0.513407 test acc:0.5010886
epoch 15 train loss:1.286607,train acc:0.513383 test acc:0.5010566
epoch 16 train loss:1.286131,train acc:0.513359 test acc:0.5012167
epoch 17 train loss:1.286519,train acc:0.513391 test acc:0.5012487
epoch 18 train loss:1.285918,train acc:0.513527 test acc:0.5012167
epoch 19 train loss:1.286363,train acc:0.513351 test acc:0.5014088
epoch 20 train loss:1.286299,train acc:0.513318 test acc:0.5011847
epoch 21 train loss:1.283958,train acc:0.513887 test acc:0.5012807
epoch 22 train loss:1.286406,train acc:0.513391 test acc:0.5014088
epoch 23 train loss:1.284150,train acc:0.513262 test acc:0.5013128
epoch 24 train loss:1.284231,train acc:0.513375 test acc:0.5014728
epoch 25 train loss:1.285218,train acc:0.513407 test acc:0.5012807
epoch 26 train loss:1.287231,train acc:0.513359 test acc:0.5012487
epoch 27 train loss:1.286851,train acc:0.513519 test acc:0.5013448
epoch 28 train loss:1.286639,train acc:0.513391 test acc:0.5014408
epoch 29 train loss:1.286725,train acc:0.513415 test acc:0.5014088
epoch 30 train loss:1.287014,train acc:0.513326 test acc:0.5011527
epoch 31 train loss:1.286140,train acc:0.513383 test acc:0.5012487
epoch 32 train loss:1.287060,train acc:0.513351 test acc:0.5011206
epoch 33 train loss:1.286563,train acc:0.513455 test acc:0.5014408
epoch 34 train loss:1.286878,train acc:0.513439 test acc:0.5014088
epoch 35 train loss:1.286550,train acc:0.513599 test acc:0.5013448
epoch 36 train loss:1.286353,train acc:0.513439 test acc:0.5014088
epoch 37 train loss:1.286936,train acc:0.513463 test acc:0.5011527
epoch 38 train loss:1.286723,train acc:0.513343 test acc:0.5013768
epoch 39 train loss:1.287299,train acc:0.513294 test acc:0.5011847
epoch 40 train loss:1.287073,train acc:0.513246 test acc:0.5013448
epoch 41 train loss:1.287031,train acc:0.513375 test acc:0.5011527
epoch 42 train loss:1.286705,train acc:0.513599 test acc:0.5012487
epoch 43 train loss:1.286607,train acc:0.513703 test acc:0.5014728
epoch 44 train loss:1.286198,train acc:0.513671 test acc:0.5012487
epoch 45 train loss:1.285418,train acc:0.513783 test acc:0.5011206
epoch 46 train loss:1.285258,train acc:0.513583 test acc:0.5010886
epoch 47 train loss:1.287940,train acc:0.513623 test acc:0.5011206
epoch 48 train loss:1.287147,train acc:0.513655 test acc:0.5012167
epoch 49 train loss:1.286640,train acc:0.513775 test acc:0.5015689
traing rnn with word2vec model ...
epoch 0 train loss:1.287781,train acc:0.512638 test acc:0.5010566
epoch 1 train loss:1.288379,train acc:0.512582 test acc:0.5011527
epoch 2 train loss:1.288284,train acc:0.512662 test acc:0.5013448
epoch 3 train loss:1.284106,train acc:0.512590 test acc:0.5010566
